"","x"
"1",3.25732701124245
"2",3.98173561783945
"3",4.51096939058926
"4",4.82189316949938
"5",5.09110867824613
"6",5.32904053919088
"7",5.52843653159867
"8",5.71817835493993
"9",5.8769791931176
"10",6.02830261632593
"11",6.25780167850895
"12",3.33113250721387
"13",4.20454335452018
"14",4.75703253529734
"15",5.18677109180312
"16",5.51713155970102
"17",5.79194596548551
"18",5.9910894767779
"19",6.15975056493747
"20",6.29138393722424
"21",6.44873115377941
"22",6.66417940215343
"23",3.8323302365189
"24",4.58649692072247
"25",5.19915979501482
"26",5.53717677430225
"27",5.82579359638301
"28",6.04708845085598
"29",6.23953482994605
"30",6.41825073691983
"31",6.5563521289725
"32",6.67094374490251
"33",6.89710880587817
"34",3.76026945020061
"35",4.77076936663766
"36",5.27806363752077
"37",5.65560712145177
"38",5.97825265313575
"39",6.2151879302872
"40",6.40971424957557
"41",6.58452892700546
"42",6.73454409641614
"43",6.85942600858485
"44",7.09214136982497
"45",4.27318785463973
"46",5.1113851971964
"47",5.58278176784383
"48",5.9239616365064
"49",6.19471146670774
"50",6.41514605780257
"51",6.59844090640324
"52",6.76913668273762
"53",6.91079066752566
"54",7.04864701767962
"55",7.29525327420639
"56",4.54276272585947
"57",5.25337230050487
"58",5.68344370366067
"59",6.00896059472473
"60",6.27248070161265
"61",6.50133471457094
"62",6.66572193361268
"63",6.81176186582705
"64",6.94531114550857
"65",7.0757665976583
"66",7.32975624639706
"67",4.7917327370393
"68",5.37685124420214
"69",5.86859044895745
"70",6.1755969633059
"71",6.46170252389219
"72",6.68166990474701
"73",6.82064935206826
"74",6.95982577127314
"75",7.09095977920013
"76",7.21648185434209
"77",7.45000398555573
"78",4.98251013037041
"79",5.55047588293077
"80",5.97804997268612
"81",6.2781836560592
"82",6.56511002845507
"83",6.80472537866259
"84",6.96708965702724
"85",7.12082425172475
"86",7.25778519353542
"87",7.39393363912948
"88",7.59881027244419
"89",5.19290129379139
"90",5.75342941454561
"91",6.13170463602243
"92",6.42305213936172
"93",6.67762487636836
"94",6.8633853312462
"95",6.93270151794321
"96",7.03608692633199
"97",7.18181245261758
"98",7.32040782877027
"99",7.55419861748834
"100",4.78582368568135
"101",5.39417285219156
"102",5.8237852670509
"103",6.36261422480103
"104",6.80442603223339
"105",7.09428463721627
"106",7.29872922893444
"107",7.48103725768137
"108",7.59237621419763
"109",7.38555965314803
"110",7.7569270966997
"111",5.32232681900839
"112",5.95105913247294
"113",6.32064238704403
"114",6.81995086034536
"115",7.13214605219166
"116",7.28100706472565
"117",7.45383993263321
"118",7.63299203725068
"119",7.7409035037649
"120",7.8806720607935
"121",7.97283491344077
"122",5.28096772821292
"123",6.03008411807304
"124",6.44269938946034
"125",6.81961235294138
"126",7.12243107987748
"127",7.35487403569041
"128",7.53993621687989
"129",7.69446565972027
"130",7.81789915760301
"131",7.933832716467
"132",8.01840482826075
"133",5.23409879422139
"134",6.04006421694404
"135",6.45193853824695
"136",6.83297785202431
"137",7.15709665095587
"138",7.39288763967401
"139",7.53700906359983
"140",7.69790212046003
"141",7.83146244102364
"142",7.94113191468385
"143",8.05624919944418
"144",5.42512621341173
"145",6.11361580594812
"146",6.4737054940182
"147",6.83787987532106
"148",7.18180484970262
"149",7.38338057699593
"150",7.56494362068782
"151",7.71181752011324
"152",7.8143026985733
"153",7.9600094436721
"154",8.15576410729768
"155",5.49569172596828
"156",6.29038325148575
"157",6.66675320936661
"158",6.93696450556612
"159",7.26883650100369
"160",7.49071922212303
"161",7.68704345786207
"162",7.84495390946797
"163",7.95057292932793
"164",8.08672407223823
"165",8.22022278227812
"166",5.57708482161024
"167",6.50388390021243
"168",6.85601978157408
"169",7.10946270957593
"170",7.43134114349039
"171",7.64636805583587
"172",7.80356163121979
"173",7.95402459974113
"174",8.09126309670039
"175",8.21101308032232
"176",8.33736053473915
"177",5.71303949591888
"178",6.49633748876455
"179",6.83947643822884
"180",7.06908299927186
"181",7.38249144210285
"182",7.57749564495904
"183",7.72166327941722
"184",7.89930560535266
"185",8.06107984398566
"186",8.17511124978041
"187",8.29419212994987
